Category,"name
(Parameter to be adjusted)","desc
(Parameter description)","get
(Command for querying parameter values.)","set
(Command for setting parameter values)",needrestart(Whether require restart or not),type (discrete/continuous),"options
(For the discrete type, use"";""to split  different values.)","dtype
(For discrete, the parameter value type can only be int or string.)","scope
(Minimum value of the parameter)","scope
(Maximum Value of the parameter)","step
(Step of the parameter value)","items
(Enumerated values out of parameter values. Use "";"" to split different values)",select (whether to select the parameter),
,reg_ctrl_dmcassign,"DDR access address alignment enable. 0--The DDR read operation uses the wrap mode, and the address is 32-byte-aligned. The DDR write operation is always in INCR mode, and the address is aligned with the access boundary. 1--The DDR read operation is always in INCR mode, and the address is aligned with the access boundary. The DDR write operation is always in INCR mode, and the address is aligned with the access boundary.",cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes,
,reg_ctrl_rdatabyp,"DDR read data bypass memory enable in the HHA. 0--disable 1--The internal data of the HHA is bypassed, and the DDR read data can be transmitted quickly.",cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes,
,reg_ctrl_excl_clear_dis,Whether to disable the function of periodically clearing HHA non-cacheable exclusive monitor. 0--enable 1--disable,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes,
,reg_ctrl_excl_eventen,Enable HHA non-cacheable exclusive monitor event. An event can be sent to wake up the CPU when an address is successfully written or corrupted. 0--disable 1--enable,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes,
,reg_ctrl_eccen,Enable the memory ECC error correction in the HHA. 0--disable 1--enable,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes,
,reg_readoncesnp_dis,Disable NCA Readonce fixed snoop. 0--enable 1--disable,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes,
,reg_cc_exter_stash,L3T configuration of extern snoop stash. 0--forbid 1--allow,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes,
,reg_cc_writebacki_spill_full,Enable fixed 128-byte data spill of the WritebackI operation. 0--disable 1--enable,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes,
,reg_cc_writeevicti_spill_full,Enable fixed 128-byte data spill of the WriteEvictI operation. 0--disable 1--enable,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes,
,reg_cc_stashonce_full,Enable fixed 128-byte data stash of the StashOnce operation. 0--disable 1--enable,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes,
,reg_cc_atomicstashl2,Enable L2 stash of atomic operations. 0--disable 1--enable,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes,
,reg_cc_atomicstashl3,Enable L3 stash of atomic operations. 0--disable 1--enable,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes,
,reg_cc_atomicstashclr,Clear L3 stash monitor of atomic operations. 0--disable 1--enable,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes,
,reg_cc_cmo_snpme,Enable snoop me for CMO operations. 0--disable 1--enable,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes,
,reg_cc_makee_change,Enable HHA MakeE conversion to readE when the HHA MakeE is not self-hit. 0--disable 1--enable,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes,
,reg_cc_ioc_hitsca_dis,Disable the function of recording CAIDs when the HHA I/O cache hits the exact directory. 0--enable 1--disable,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes,
,reg_cc_passdirty,Enable HHA pass dirty. 0--disable 1--enable,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes,
,reg_cc_snpdrop,Enable Snoop Drop. 0--disable 1--enable,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes,
,reg_cc_spill,Enable local multi-partition sharing. 0--disable 1--enable,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes,
,reg_precisionsnp_dis,Disable HHA precise snoop based on shared directories. 0--enable 1--disable,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes,
,reg_notonly_excl,Whether to create new entries for exclusive operations in the HHA share directory buffer. 0--only for exclusive operations 1--for all of operations,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes,
,reg_buffer_share_dis,Disable HHA share directory buffer. 0--enable 1--disable,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes,
,reg_miss_allindex,Enable that HHA miss queues are related based on index. 0--disable 1--enable,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes,
,reg_miss_cbackth,Enable HHA miss queue copyback request to use second threshold. 0--disable 1--enable,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes,
,reg_miss_normalth,Enable HHA miss queue common request to use second threshold. 0--disable 1--enable,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes,
,reg_miss_tosdir,Enable HHA only to allow miss alloc to be sent to sdir. 0--disable 1--enable,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes,
,reg_entry_except,Exclude the same entry address in HHA. 0--disable 1--enable,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes,
,reg_dir_precision,Configuration of HHA precise directory. 0--disable to allow vague directory recording 1--enable to forbid vague directory recording,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes,
,reg_dir_replace_alg,Directory replacement algorithm configuration. 0--EDIR random+SDIR random 1--EDIR random+SDIR polling 2--EDIR PLRU+SDIR random 3--EDIR PLRU+SDIR polling,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,,int,0,3,1,,yes,
,strict_order,Keep the order of HHA operation queue strictly. 0--enable 1--unable,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes,
,prefetch_comb,Read operation and prefetchtgt merge enable. 0--The read operation can be merged with the fetchtgt operation. 1--The read operation and the fetchtgt merge operation are not allowed.,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes,
,evict_green,Unblocking configuration of the evict in PQ. 0--evict can't be blocked 1--evict can be blocked,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes,
,block_retry,Whether to perform retry configuration directly when the MPAM hardlim flow bandwidth exceeds the configured one such that enters CMD. 0--retry directly 1--don't retry directly and be scheduled with other flows,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes,
,buffer_prio,Priority configuration for the ingress queue of the CMD buffer request and PGNT application. 0--CMD buffer priors to pgnt 1--CMD buffer and pgnt have equivalent priority,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes,
,half_wr_rdddr_delay,Enables the DDR read delay during 64-byte full write operations after compression. 0--enable 1--disable,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes,
,wback_cnfl_rdhalf,DDR size configuration that is reread when the writeback conflict occurs. 0--depend on Writeback address and size 1--size=128B,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes,
,reg_funcdis_pendprecision,Enable precise pend. 0--pend is precisely depend on flit 1--pend=1,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes,
,reg_funcdis_combrdddr,Reread DDR after multiple adjacent narrow write operations are merged.,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes,
,reg_funcdis_scramble,Ingress queue scrambling. 0--enable 1--disable,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes,
,reg_funcdis_stashidpg,Whether to enable the partial good conversion of the Stash TGTID. ,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes,
,reg_funcdis_rdatatime,HHA receives DMC read data anti-starvation threshold configuration. 0--threshold=8 1--threshold=4,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes,
,reg_funcdis_dmcutl,DMC usage source selection. 0--from DDRC 1--from queue processing utilization ratio inside HHA,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes,
,reg_funcdis_cancelexcept,"The pipeline index check excludes requests that are not actually queried (for example, prefetchtgt). 0--enable exclusion 1--disable exclusion",cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes,
,reg_funcdis_ccixcbupdate,Whether to update the directory in the CCIX copyback of the multi-CA. 0--allow 1--forbid,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes,
,reg_funcdis_updateopen,Block the update dir command in the processing queue based on index. 0--disable 1--enable,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes,
,reg_funcdis_comb,Whether to merge write operations whose size is less than 128 bytes. 0--enable 1--disables the merge function of the write operation.,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes,
,reg_prefetchtgt_outstanding,"Outstanding configuration for the HHA to read data from the DDR prefetch. When the read/write operation sent by the HHA to the DDR exceeds the threshold, the prefetchtgt operation is forbidden to read the DDR data and the operation is directly discarded. This configuration and reg_prefetch_outstanding control the prefetch threshold at the same time. Threshold ranges from 0 to 127.",cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,,int,0,127,1,,yes,
,reg_prefetchtgt_level,"Threshold for the HHA to read data from the DDR prefetch. When the DDR read/write operations in the HHA processing queue exceed the threshold, the prefetchtgt operation is forbidden to read the DDR data and the operation is directly discarded. This configuration and reg_prefetch_outstanding control the prefetch threshold at the same time. Threshold ranges from 0 to 127.",cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,,int,0,127,1,,yes,
,reg_spec_rd_level,"DDR threshold configuration for speculation read. When the DDR read and write commands in the HHA processing queue exceed the threshold, speculative reading of the DDR is prohibited. After the directory is queried, the system determines whether to read the DDR based on the directory query result. Note: The value 0x08 or 0x10 is recommended. Range from 0 to 127",cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,,int,0,127,1,,yes,
,reg_drop_level,"Prefetch drop threshold configuration. When the number of DDR read and write commands in the HHA processing queue exceeds the threshold, some prefetch read commands can be discarded. Range from 0 to 127.",cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,,int,0,127,1,,yes,
,dvmsnp_outstanding,"Outstanding value of the DVMSNP of the MN. Note 1: If dvmsnp_perf_en is enabled, the configured value is valid. The maximum value of outstanding can be 5 when the TaiShan core is used. Otherwise, overflow errors occur. Note 2: The SMMU cannot match the Dvmsnp outstanding value 5. Therefore, you need to set the switch to 3 for Totem and Infinite of 1383. Totem and Nimbus of 1620: Set DVM outstanding to 5. However, do not configure POE for the DVMSNP broadcast node. The POE uses a private page table and does not require DVMSNP. Range from 0 to 15.(Note: 0 represents that outstanding level is 1)",cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,,int,0,15,1,,yes,
,dvmreq_outstanding,"Outstanding value of the DVMREQ of the MN. Note 1: If dvmreq_perf_en is enabled, the configured value is valid. The maximum value of outstanding can be 9 when there are four chips. Otherwise, an overflow error occurs. Note 2: In the case of two chips, the maximum outstanding value of totem can be 10, and the maximum outstanding value of nimbus or infinite is 24. This ensures the best performance. Note 3: In the case of a single chip, there is no restriction on the outstanding configuration of the totem. Range from 0 to 31.(Note: 0 represents that outstanding level is 1)",cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,,int,0,31,1,,yes,
,dvmsnp_perf_en,"Whether to enable the outstanding level for the dvmsnp.(Note: After the function is enabled, the dvmsnp outstanding value of the MN is equal to the value of dvmsnp_outstanding.) 0--disable 1--enable",cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes,
,dvmreq_perf_en,"Whether to enable the outstanding level for the dvmreq.(Note: After the function is enabled, the dvmreq outstanding value of the MN is equal to the value of dvmreq_outstanding.) 0--disable 1--enable",cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes,
nginx,nginx.access_log,Enabling or Disabling nginx access_log,"cat /etc/nginx/nginx.conf | grep ""access_log"" | awk -F ';' '{print $1}' | awk '{$1="""";print}'| awk '$1=$1'","sed -i ""s#access_log.*#access_log $value;#g"" /etc/nginx/nginx.conf",FALSE,discrete,/var/log/nginx/access.log  main;off,string,,,,,yes,
,nginx.error_log,Enabling or Disabling nginx error_log,"cat /etc/nginx/nginx.conf | grep ""error_log"" | awk -F ';' '{print $1}' | awk '{$1="""";print}' | awk '$1=$1'","sed -i ""s#error_log.*#error_log $value;#g"" /etc/nginx/nginx.conf",FALSE,discrete,/var/log/nginx/access.log  main;/dev/null,string,,,,,yes,
mariadb,mariadb.key_buffer_size,Index parameters of the myisam storage engine,cat /etc/my.cnf | grep key_buffer_size | awk -F '=' '{print $2}' | awk '$1=$1',sed -i 's/key_buffer_size.*/key_buffer_size = $value/g' /etc/my.cnf,FALSE,discrete,,int,1048576,536870912,1048576,,yes,
,mariadb.max_allowed_packet,Maximum number of received packets,cat /etc/my.cnf | grep max_allowed_packet | awk -F '=' '{print $2}' | awk '$1=$1',sed -i 's/max_allowed_packet.*/max_allowed_packet = $value/g' /etc/my.cnf,FALSE,discrete,,int,1048576,104857600,1048576,,yes,
,mariadb.table_open_cache,Table cache for storing data,cat /etc/my.cnf | grep table_open_cache | awk -F '=' '{print $2}' | awk '$1=$1',sed -i 's/table_open_cache.*/table_open_cache = $value/g' /etc/my.cnf,FALSE,discrete,,int,16,1000000,2,,yes,
,mariadb.back_log,The number of new requests stored in the stack,cat /etc/my.cnf | grep back_log | awk -F '=' '{print $2}' | awk '$1=$1',sed -i 's/back_log.*/back_log = $value/g' /etc/my.cnf,FALSE,continuous,,int,16,65536,,,yes,
,mariadb.sort_buffer_size,Cache used for sorting,cat /etc/my.cnf | grep sort_buffer_size | awk -F '=' '{print $2}' | awk '$1=$1',sed -i 's/sort_buffer_size.*/sort_buffer_size = $value/g' /etc/my.cnf,FALSE,discrete,,int,256,104857600,1024,,yes,
,mariadb.read_buffer_size,the buffer allocated to each thread during sequential table scanning.,cat /etc/my.cnf | grep read_buffer_size | awk -F '=' '{print $2}' | awk '$1=$1',sed -i 's/read_buffer_size.*/read_buffer_size = $value/g' /etc/my.cnf,FALSE,discrete,,int,1024,104857600,1024,,yes,
,mariadb.read_rnd_buffer_size,the buffer allocated to each thread when the table is read randomly,cat /etc/my.cnf | grep read_rnd_buffer_size | awk -F '=' '{print $2}' | awk '$1=$1',sed -i 's/read_rnd_buffer_size.*/read_rnd_buffer_size = $value/g' /etc/my.cnf,FALSE,discrete,,int,1024,104857600,1024,,yes,
,mariadb.myisam_sort_buffer_size,the buffer required for reordering when the MyISAM table changes,cat /etc/my.cnf | grep myisam_sort_buffer_size | awk -F '=' '{print $2}' | awk '$1=$1',sed -i 's/myisam_sort_buffer_size.*/myisam_sort_buffer_size = $value/g' /etc/my.cnf,FALSE,discrete,,int,1024,104857600,1024,,yes,
,mariadb.thread_cache_size,Number of threads saved in the cache that are reused,cat /etc/my.cnf | grep thread_cache_size | awk -F '=' '{print $2}' | awk '$1=$1',sed -i 's/thread_cache_size.*/thread_cache_size = $value/g' /etc/my.cnf,FALSE,continuous,,int,8,1000,,,yes,
,mariadb.max_connections,the max number of connections,cat /etc/my.cnf | grep max_connections | awk -F '=' '{print $2}' | awk '$1=$1',sed -i 's/max_connections.*/max_connections = $value/g' /etc/my.cnf,FALSE,continuous,,int,10,65536,,,yes,
,mariadb.max_heap_table_size,size of a memory table that can be created,cat /etc/my.cnf | grep max_heap_table_size | awk -F '=' '{print $2}' | awk '$1=$1',sed -i 's/max_heap_table_size.*/max_heap_table_size = $value/g' /etc/my.cnf,FALSE,discrete,,int,1024,104857600,1024,,yes,
,mariadb.innodb_buffer_pool_size,size of innodb buffer pool,cat /etc/my.cnf | grep innodb_buffer_pool_size | awk -F '=' '{print $2}' | awk '$1=$1',sed -i 's/innodb_buffer_pool_size.*/innodb_buffer_pool_size = $value/g' /etc/my.cnf,FALSE,discrete,,int,1024,1.37E+11,1024,,yes,
,mariadb.innodb_log_buffer_size,size of innodb log buffer,cat /etc/my.cnf | grep innodb_log_buffer_size | awk -F '=' '{print $2}' | awk '$1=$1',sed -i 's/innodb_log_buffer_size.*/innodb_log_buffer_size = $value/g' /etc/my.cnf,FALSE,discrete,,int,1048576,104857600,1048576,,yes,
redis,redis.tcp-backlog,tcp backlog,cat /etc/redis.conf | grep tcp-backlog | awk '{print $2}',sed -i 's/tcp-backlog.*/tcp-backlog $value/g' /etc/redis.conf,FALSE,continuous,,int,16,65536,,,yes,
,redis.tcp-keepalive,closes the connection after holding for a few seconds,cat /etc/redis.conf | grep tcp-keepalive | awk '{print $2}',sed -i 's/tcp-keepalive.*/tcp-keepalive $value/g' /etc/redis.conf,FALSE,continuous,,int,0,3600,,,yes,
,redis.supervised ,service supervise,cat /etc/redis.conf | grep supervised  | awk '{print $2}',sed -i 's/supervised .*/supervised  $value/g' /etc/redis.conf,FALSE,discrete,no;upstart;systemd;auto,string,,,,,yes,
,redis.databases,number of databases,cat /etc/redis.conf | grep databases | awk '{print $2}',sed -i 's/databases.*/databases $value/g' /etc/redis.conf,FALSE,continuous,,int,0,100,,,yes,
,redis.rdbcompression,whether to compress character strings using LZF when backing up .rdb files,cat /etc/redis.conf | grep rdbcompression  | awk '{print $2}',sed -i 's/rdbcompression .*/rdbcompression  $value/g' /etc/redis.conf,FALSE,discrete,yes;no,string,,,,,yes,
tomcat,connector.maxThreads,Maximum number of threads requested by the customer,"server_xml_dir=/home/atune_5555/apache-tomcat-10.0.23/conf/server.xml && begin_line=$(sed -n '/<Connector/=' $server_xml_dir | head -n 1) && end_line=$(sed -n ""$begin_line,/maxThreads/="" $server_xml_dir | tail -n 1) && (sed -n ""${end_line}p"" $server_xml_dir | cut -d '=' -f 2) | cut -d '""' -f 2","server_xml_dir=/home/atune_5555/apache-tomcat-10.0.23/conf/server.xml && begin_line=$(sed -n '/<Connector/=' $server_xml_dir | head -n 1) && end_line=$(sed -n ""$begin_line,/maxThreads/="" $server_xml_dir | tail -n 1) && sed -r -i ""$begin_line,${end_line} s#(maxThreads=\"").*(\"")#maxThreads=\""$value\""#1"" $server_xml_dir",FALSE,discrete,,int,100,2000,10,,yes,
,connector.minSpareThreads,Number of Socket threads created during Tomcat initialization,"server_xml_dir=/home/atune_5555/apache-tomcat-10.0.23/conf/server.xml && begin_line=$(sed -n '/<Connector/=' $server_xml_dir | head -n 1) && end_line=$(sed -n ""$begin_line,/minSpareThreads/="" $server_xml_dir | tail -n 1) && (sed -n ""${end_line}p"" $server_xml_dir | cut -d '=' -f 2) | cut -d '""' -f 2","server_xml_dir=/home/atune_5555/apache-tomcat-10.0.23/conf/server.xml && begin_line=$(sed -n '/<Connector/=' $server_xml_dir | head -n 1) && end_line=$(sed -n ""$begin_line,/minSpareThreads/="" $server_xml_dir | tail -n 1) && sed -r -i ""$begin_line,${end_line} s#(minSpareThreads=\"").*(\"")#minSpareThreads=\""$value\""#1"" $server_xml_dir",FALSE,discrete,,int,10,200,5,,yes,
,connector.maxConnections,The maximum number of connections that the server will accept and process,"server_xml_dir=/home/atune_5555/apache-tomcat-10.0.23/conf/server.xml && begin_line=$(sed -n '/<Connector/=' $server_xml_dir | head -n 1) && end_line=$(sed -n ""$begin_line,/maxConnections/="" $server_xml_dir | tail -n 1) && (sed -n ""${end_line}p"" $server_xml_dir | cut -d '=' -f 2) | cut -d '""' -f 2","server_xml_dir=/home/atune_5555/apache-tomcat-10.0.23/conf/server.xml && begin_line=$(sed -n '/<Connector/=' $server_xml_dir | head -n 1) && end_line=$(sed -n ""$begin_line,/maxConnections/="" $server_xml_dir | tail -n 1) && sed -r -i ""$begin_line,${end_line} s#(maxConnections=\"").*(\"")#maxConnections=\""$value\""#1"" $server_xml_dir",FALSE,discrete,,int,8000,15000,100,,yes,
,connector.enableLookups,Whether to backcheck the domain name,"server_xml_dir=/home/atune_5555/apache-tomcat-10.0.23/conf/server.xml && begin_line=$(sed -n '/<Connector/=' $server_xml_dir | head -n 1) && end_line=$(sed -n ""$begin_line,/enableLookups/="" $server_xml_dir | tail -n 1) && (sed -n ""${end_line}p"" $server_xml_dir | cut -d '=' -f 2) | cut -d '""' -f 2","server_xml_dir=/home/atune_5555/apache-tomcat-10.0.23/conf/server.xml && begin_line=$(sed -n '/<Connector/=' $server_xml_dir | head -n 1) && end_line=$(sed -n ""$begin_line,/enableLookups/="" $server_xml_dir | tail -n 1) && sed -r -i ""$begin_line,${end_line} s#(enableLookups=\"").*(\"")#enableLookups=\""$value\""#1"" $server_xml_dir",FALSE,discrete,"['true', 'false']",string,,,,,yes,
,connector.acceptCount,Maximum number of listening port queues,"server_xml_dir=/home/atune_5555/apache-tomcat-10.0.23/conf/server.xml && begin_line=$(sed -n '/<Connector/=' $server_xml_dir | head -n 1) && end_line=$(sed -n ""$begin_line,/acceptCount/="" $server_xml_dir | tail -n 1) && (sed -n ""${end_line}p"" $server_xml_dir | cut -d '=' -f 2) | cut -d '""' -f 2","server_xml_dir=/home/atune_5555/apache-tomcat-10.0.23/conf/server.xml && begin_line=$(sed -n '/<Connector/=' $server_xml_dir | head -n 1) && end_line=$(sed -n ""$begin_line,/acceptCount/="" $server_xml_dir | tail -n 1) && sed -r -i ""$begin_line,${end_line} s#(acceptCount=\"").*(\"")#acceptCount=\""$value\""#1"" $server_xml_dir",FALSE,discrete,,int,50,2000,50,,yes,
,connector.connectionTimeout,Network connection timeout,"server_xml_dir=/home/atune_5555/apache-tomcat-10.0.23/conf/server.xml && begin_line=$(sed -n '/<Connector/=' $server_xml_dir | head -n 1) && end_line=$(sed -n ""$begin_line,/connectionTimeout/="" $server_xml_dir | tail -n 1) && (sed -n ""${end_line}p"" $server_xml_dir | cut -d '=' -f 2) | cut -d '""' -f 2","server_xml_dir=/home/atune_5555/apache-tomcat-10.0.23/conf/server.xml && begin_line=$(sed -n '/<Connector/=' $server_xml_dir | head -n 1) && end_line=$(sed -n ""$begin_line,/connectionTimeout/="" $server_xml_dir | tail -n 1) && sed -r -i ""$begin_line,${end_line} s#(connectionTimeout=\"").*(\"")#connectionTimeout=\""$value\""#1"" $server_xml_dir",FALSE,discrete,,int,10000,60000,500,,yes,
,connector.maxHttpHeaderSize,The maximum size of HTTP headers for requests and responses,"server_xml_dir=/home/atune_5555/apache-tomcat-10.0.23/conf/server.xml && begin_line=$(sed -n '/<Connector/=' $server_xml_dir | head -n 1) && end_line=$(sed -n ""$begin_line,/maxHttpHeaderSize/="" $server_xml_dir | tail -n 1) && (sed -n ""${end_line}p"" $server_xml_dir | cut -d '=' -f 2) | cut -d '""' -f 2","server_xml_dir=/home/atune_5555/apache-tomcat-10.0.23/conf/server.xml && begin_line=$(sed -n '/<Connector/=' $server_xml_dir | head -n 1) && end_line=$(sed -n ""$begin_line,/maxHttpHeaderSize/="" $server_xml_dir | tail -n 1) && sed -r -i ""$begin_line,${end_line} s#(maxHttpHeaderSize=\"").*(\"")#maxHttpHeaderSize=\""$value\""#1"" $server_xml_dir",FALSE,discrete,,int,1024,102400,1024,,yes,
,connector.tcpNoDelay,"If true, the server socket sets TCP_NO_DELAY","server_xml_dir=/home/atune_5555/apache-tomcat-10.0.23/conf/server.xml && begin_line=$(sed -n '/<Connector/=' $server_xml_dir | head -n 1) && end_line=$(sed -n ""$begin_line,/tcpNoDelay/="" $server_xml_dir | tail -n 1) && (sed -n ""${end_line}p"" $server_xml_dir | cut -d '=' -f 2) | cut -d '""' -f 2","server_xml_dir=/home/atune_5555/apache-tomcat-10.0.23/conf/server.xml && begin_line=$(sed -n '/<Connector/=' $server_xml_dir | head -n 1) && end_line=$(sed -n ""$begin_line,/tcpNoDelay/="" $server_xml_dir | tail -n 1) && sed -r -i ""$begin_line,${end_line} s#(tcpNoDelay=\"").*(\"")#tcpNoDelay=\""$value\""#1"" $server_xml_dir",FALSE,discrete,"['true', 'false']",string,,,,,yes,
,connector.compression,Whether to enable GZIP compression,"server_xml_dir=/home/atune_5555/apache-tomcat-10.0.23/conf/server.xml && begin_line=$(sed -n '/<Connector/=' $server_xml_dir | head -n 1) && end_line=$(sed -n ""$begin_line,/compression/="" $server_xml_dir | tail -n 1) && (sed -n ""${end_line}p"" $server_xml_dir | cut -d '=' -f 2) | cut -d '""' -f 2","server_xml_dir=/home/atune_5555/apache-tomcat-10.0.23/conf/server.xml && begin_line=$(sed -n '/<Connector/=' $server_xml_dir | head -n 1) && end_line=$(sed -n ""$begin_line,/compression/="" $server_xml_dir | tail -n 1) && sed -r -i ""$begin_line,${end_line} s#(compression=\"").*(\"")#compression=\""$value\""#1"" $server_xml_dir",FALSE,discrete,"['off', 'on','force']",string,,,,,yes,
